title,id,activity,status
"Mock functions with autospec don't support assert_called_once, assert_called, assert_not_called",28380,2016-10-06.21:35:57,2
IDLE: don't offer to save text files as .py,28365,2016-10-06.20:31:24,2
Add a server_side keyword parameter to create_connection,27392,2016-10-06.18:10:40,2
Asyncio server hang when clients connect and immediately disconnect,27386,2016-10-06.18:07:07,2
selectors incorrectly retain invalid file descriptors,27759,2016-10-06.18:06:39,2
argparse - subparsers does not retain namespace,27859,2016-10-06.15:46:59,2
Support the fspath protocol in the posixpath module,27231,2016-10-06.11:17:16,2
os.fspath() should not use repr() on error,27232,2016-10-06.11:09:54,2
Improve the usability of the match object named group API,24454,2016-10-06.08:43:48,2
Optimize ascii and latin1 decoder with surrogateescape and surrogatepass error handlers,24870,2016-10-06.07:45:27,2
dict: perturb shift should be done when first conflict,28201,2016-10-06.06:38:04,2
Add CoroutineReturn and CoroutineExit builtin exceptions for coroutines,24697,2016-10-05.23:48:17,2
Comprehensions and await need more unittests,27168,2016-10-05.23:46:50,2
Fix asyncio to support formatting of non-python coroutines,28372,2016-10-05.23:34:00,2
str object got multiple values for keyword argument,27286,2016-10-05.23:29:06,2
Deprecate passing asyncio.Handles to run_in_executor,28371,2016-10-05.22:29:41,2
Speedup asyncio.StreamReader.readexactly,28370,2016-10-05.22:15:46,2
Raise RuntimeError when transport's FD is used with add_reader etc,28369,2016-10-05.21:50:27,2
BETA report: Python3.6 names pip pip3.6 (and why is the other name pip3),28361,2016-10-05.21:20:06,2
Refuse monitoring processes if the child watcher has no loop attached,28368,2016-10-05.21:02:35,2
-D_LARGE_FILES not exported to modules (for AIX),28363,2016-10-05.18:52:24,2
Syntax issue,28366,2016-10-05.17:09:23,2
Deprecation warning doesn't stand out enough,28362,2016-10-05.12:59:28,2
Add options width and compact to pickle cli,21626,2016-10-05.10:35:39,2
"""Print window"" menu on IDLE aborts whole application",12274,2016-10-05.10:26:41,2
Portable and extended type specifiers for array module,17345,2016-10-05.09:43:55,2
Add support for customizing scheduler's timefunc and delayfunc using subclassing,28329,2016-10-05.07:03:17,2
cpython tip fails to build on Mac OS X 10.11.6 w/ XCode 8.0,28341,2016-10-04.19:15:28,2
OSX 10.12 crash in urllib.request getproxies_macosx_sysconf and proxy_bypass_macosx_sysconf,28342,2016-10-04.19:06:27,2
test_distutils fails,28222,2016-10-04.17:55:49,2
Doc typo in asyncio.Task,28348,2016-10-04.17:44:54,2
lzma does not support pathlib,28229,2016-10-04.17:39:50,2
Spam,28360,2016-10-04.17:19:29,2
Spam,28358,2016-10-04.17:18:43,2
Spam,28359,2016-10-04.17:16:21,2
Plistlib: Half of the double width characters are missing when writing binary plist,28321,2016-10-04.17:10:19,2
heapq item comparison problematic with sched's events,5830,2016-10-04.16:18:30,2
Python3.2.2 make fail on cygwin,13756,2016-10-04.16:17:54,2
Spam,28357,2016-10-04.16:11:16,2
Interning string constants with null character,28350,2016-10-04.15:27:43,2
_cursesmodule build fails on cygwin,14438,2016-10-04.14:56:56,2
Cygwin does not provide siginfo_t.si_band,21085,2016-10-04.13:51:24,2
Outdated *_RESTRICTED flags in structmember.h,24065,2016-10-04.12:01:48,2
Python unittest.mock.mock_calls stores references to arguments instead of their values,28318,2016-10-04.10:07:00,2
DeprecationWarning not reported for invalid escape sequences,28354,2016-10-04.09:06:49,2
Assertion failed in gc with __del__ and weakref,26617,2016-10-04.07:01:14,2
_struct module compilation error under Cygwin 1.7.17 on Python 3.4,21124,2016-10-04.06:26:33,2
Segfault in _struct.unpack_iterator,28337,2016-10-04.06:25:26,2
test_pdb doctests have been removed from its test suite,28338,2016-10-03.23:15:48,2
