what;added;who;when;bug_id;removed
Severity;major;erich_gamma;2002-06-05 02:21:19 EDT;19234;normal
Priority;P1;erich_gamma;2002-06-05 02:21:19 EDT;19234;P3
Target Milestone;2.0 F3;erich_gamma;2002-06-05 02:21:19 EDT;19234;---
Assignee;Martin_Aeschlimann;erich_gamma;2002-06-07 13:36:25 EDT;19234;Erich_Gamma
Status;RESOLVED;aeschli;2002-06-08 05:23:38 EDT;19234;NEW
Resolution;FIXED;aeschli;2002-06-08 05:23:38 EDT;19234;---
Assignee;Adam_Kiezun;erich_gamma;2002-02-13 01:38:04 EST;9487;Erich_Gamma
Priority;P1;erich_gamma;2002-02-13 01:38:04 EST;9487;P3
Status;RESOLVED;akiezun;2002-02-13 12:07:40 EST;9487;NEW
Status;CLOSED;dirk_baeumer;2002-06-13 08:25:55 EDT;19234;RESOLVED
Resolution;WORKSFORME;dirk_baeumer;2002-06-13 08:25:55 EDT;9487;---
Status;CLOSED;wagnerc;2002-02-13 12:58:11 EST;9487;RESOLVED
Assignee;Darin_Wright;jeffmcaffer;2001-10-11 00:08:23 EDT;1579;Darin_Swanson
Status;RESOLVED;darin.eclipse;2001-10-12 13:55:10 EDT;1579;NEW
Resolution;WONTFIX;darin.eclipse;2001-10-12 13:55:10 EDT;1579;---
Assignee;David_Audel;philippe_mulet;2001-11-13 17:10:20 EST;5835;Philippe_Mulet
Priority;P3;philippe_mulet;2001-11-13 17:10:20 EST;5835;P4
Priority;P2;philippe_mulet;2001-11-14 10:28:52 EST;5835;P3
Status;CLOSED;darin.eclipse;2001-10-12 13:56:16 EDT;1579;RESOLVED
Status;RESOLVED;Darin_Swanson;2001-10-12 13:16:49 EDT;4940;NEW
Resolution;DUPLICATE;Darin_Swanson;2001-10-12 13:16:49 EDT;4940;---
Status;CLOSED;Darin_Swanson;2001-10-12 13:17:51 EDT;4940;RESOLVED
Status;ASSIGNED;philippe_mulet;2001-11-15 05:43:16 EST;5835;NEW
Assignee;Erich_Gamma;philippe_mulet;2001-11-28 10:24:47 EST;5835;David_Audel
Status;NEW;philippe_mulet;2001-11-28 10:24:47 EST;5835;ASSIGNED
Component;UI;philippe_mulet;2001-11-28 10:24:47 EST;5835;Core
Status;RESOLVED;Darin_Swanson;2002-01-15 11:06:39 EST;7613;NEW
